title,genres,overview,vote_average,release_date,popularity,keywords,backdrop_path,homepage
Blue Beetle,"Action, Science Fiction, Adventure","Recent college grad Jaime Reyes returns home full of aspirations for his future, only to find that home is not quite as he left it. As he searches to find his purpose in the world, fate intervenes when Jaime unexpectedly finds himself in possession of an ancient relic of alien biotechnology: the Scarab.",7.139,16-08-2023,2994.357,"armor, superhero, family relationships, family, high tech, job hunting, mexican american, aftercreditsstinger, duringcreditsstinger, immigrant family, college graduate, dc extended universe (dceu), alien technology, brother sister relationship, latino",/1syW9SNna38rSl9fnXwc9fP7POW.jpg,https://www.dc.com/bluebeetle
Gran Turismo,"Action, Drama, Adventure",The ultimate wish-fulfillment tale of a teenage Gran Turismo player whose gaming skills won him a series of Nissan competitions to become an actual professional racecar driver.,8.068,09-08-2023,2680.593,"based on true story, racing, based on video game, duringcreditsstinger, exhilarated, joyful",/xFYpUmB01nswPgbzi8EOCT1ZYFu.jpg,https://www.granturismo.movie
A Female Boss with Big Tits and Her Cherry Boy Colleague Stay in the Same Room on a Business Trip - She Seduces Him for Fun and Makes Him Cum 10 Times - Yua Mikami,Drama,"Yuzuru is this clumsy permavirgin employee who has Yua Mikami as a female boss, a successful and young married lady full of confidence and beauty, way out of his league. She, however, is so kind to him that the virgin guy develops a big crush on Yua.  One day they have to go on a business trip together, and he was in charge of arranging the accommodations. But instead of securing 2 rooms, he could only book just 1.  They decide to go out drinking instead until the morning comes. However, she gets smashed drunk and they returned to the room together…",9,16-01-2020,2020.286,"cheating, office, big tits, unfaithful wife",/mWFn8XFCPOuv0vqVjekPscWSSGZ.jpg,
The Nun II,"Horror, Mystery, Thriller","In 1956 France, a priest is violently murdered, and Sister Irene begins to investigate. She once again comes face-to-face with a powerful evil.",6.545,06-09-2023,1692.778,"france, bullying, sequel, religion, demon, gothic horror, demonic possession, praying, duringcreditsstinger, 1950s, demonic, girls' school, convent, the conjuring universe",/53z2fXEKfnNg2uSOPss2unPBGX1.jpg,https://www.warnerbros.com/movies/nun2
Meg 2: The Trench,"Action, Science Fiction, Horror",An exploratory dive into the deepest depths of the ocean of a daring research team spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival.,6.912,02-08-2023,1567.273,"based on novel or book, sequel, shark, kaiju, civil action, oceans, shark cage",/5mzr6JZbrqnqD8rCEvPhuCE5Fw2.jpg,https://www.themeg.movie
Retribution,"Action, Mystery, Thriller, Crime","When a mysterious caller puts a bomb under his car seat, Matt Turner begins a high-speed chase across the city to complete a specific series of tasks. With his kids trapped in the back seat and a bomb that will explode if they get out of the car, a normal commute becomes a twisted game of life or death as Matt follows the stranger's increasingly dangerous instructions in a race against time to save his family.",6.816,23-08-2023,1547.22,"assassination, bomb, remake, divorce, duringcreditsstinger, phone call, berlin",/iiXliCeykkzmJ0Eg9RYJ7F2CWSz.jpg,https://iiil.io/jCT7
Talk to Me,"Horror, Thriller","When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces.",7.214,26-07-2023,1458.514,"suicide, trauma, possession, female friendship, addiction, grief, female protagonist, death of mother, self mutilation, mental health, dead parent, social media, peer pressure, disembodied hand, generation z, self-harm, supernatural horror, cautionary tale, adelaide australia, body horror, graphic violence, teenager, modern australia",/iIvQnZyzgx9TkbrOgcXx0p7aLiq.jpg,https://umbrellaent.com.au/movie/talk-to-me
Fast X,"Action, Crime, Thriller","Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",7.265,17-05-2023,1175.267,"sequel, revenge, betrayal, racing, family, cliffhanger, cars",/4XM8DUTQb3lhLemJC51Jx4a2EuA.jpg,https://fastxmovie.com
Sound of Freedom,"Action, Drama","The story of Tim Ballard, a former US government agent, who quits his job in order to devote his life to rescuing children from global sex traffickers.",7.973,03-07-2023,1111.036,"kidnapping, human trafficking, based on true story, child kidnapping, lost children, children in danger, colombia",/eMPxmNvJjxVZIQWI2t1VmNC5IuR.jpg,https://www.soundoffreedommovie.com/
Barbie,"Comedy, Adventure, Fantasy","Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",7.279,19-07-2023,1069.34,"feminism, satire, patriarchy, based on toy, female protagonist, doll, submissive, fantasy world, motherhood, existentialism, woman director, mother daughter relationship, gender discrimination, barbie, secret world",/ctMserH8g2SeOAnCw5gFjdQF8mo.jpg,https://www.barbie-themovie.com
Elemental,"Animation, Comedy, Family, Fantasy, Romance","In a city where fire, water, land and air residents live together, a fiery young woman and a go-with-the-flow guy will discover something elemental: how much they have in common.",7.757,14-06-2023,1008.942,"fire, computer animation, duringcreditsstinger, elements, water, city, hopeful",/4fLZUr1e65hKPPVw0R3PmKFKxj1.jpg,https://movies.disney.com/elemental
Operation Napoleon,Thriller,"A modern-day lawyer is sucked into an international conspiracy after being accused of a murder she didn't commit. Her only chance of freedom lies in uncovering the secret of an old German WWII aeroplane, long buried deep beneath the ice, before the CIA.",7.04,26-01-2023,982.611,based on novel or book,/oghHR3X0hIcvs7xqyoFjA0GAZWn.jpg,
No One Will Save You,"Horror, Science Fiction, Thriller",An exiled anxiety-ridden homebody must battle an alien who's found its way into her home.,6.897,22-09-2023,961.212,"isolation, trauma, grief, female protagonist, home invasion, guilt, death of mother, alien attack, reclusive, aliens",/zYlgqIpqJ1VAbvFhRhktAzIybVs.jpg,https://www.20thcenturystudios.com/movies/no-one-will-save-you
Saw X,"Crime, Horror, Thriller","Between the events of 'Saw' and 'Saw II', a sick and desperate John Kramer travels to Mexico for a risky and experimental medical procedure in hopes of a miracle cure for his cancer, only to discover the entire operation is a scam to defraud the most vulnerable. Armed with a newfound purpose, the infamous serial killer returns to his work, turning the tables on the con artists in his signature visceral way through devious, deranged, and ingenious traps.",7.321,26-09-2023,949.967,"mexico city, mexico, sadism, riddle, gore, sequel, con artist, cancer, scam, serial killer, torture, drugs, survival horror, duringcreditsstinger, franchise, jigsaw, méxico, saw, death game, requel",/9b3uxqcjkmay20EBZZj1KVow0r5.jpg,https://www.saw.movie
